title,price,discprice,images
GUILTY GEAR -STRIVE-," 1,199.99"," 1,199.99","[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_sm_120.jpg?t=1625015685"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_sm_120.jpg?t=1625015685 1x, https://cdn.akamai.steamstatic.com/steam/apps/1384160/capsule_231x87.jpg?t=1625015685 2x""/>]"
Valheim, 185.99, 185.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1617258628"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/892970/capsule_sm_120.jpg?t=1617258628 1x, https://cdn.akamai.steamstatic.com/steam/apps/892970/capsule_231x87.jpg?t=1617258628 2x""/>]"
It Takes Two, 899.00, 899.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1426210/capsule_sm_120.jpg?t=1625770916"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1426210/capsule_sm_120.jpg?t=1625770916 1x, https://cdn.akamai.steamstatic.com/steam/apps/1426210/capsule_231x87.jpg?t=1625770916 2x""/>]"
Total War: WARHAMMER II - The Silence & The Fury, 113.99, 113.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1556110/capsule_sm_120.jpg?t=1626347924"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1556110/capsule_sm_120.jpg?t=1626347924 1x, https://cdn.akamai.steamstatic.com/steam/apps/1556110/capsule_231x87.jpg?t=1626347924 2x""/>]"
Fall Guys: Ultimate Knockout, 185.99, 185.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1097150/capsule_sm_120.jpg?t=1626803199"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1097150/capsule_sm_120.jpg?t=1626803199 1x, https://cdn.akamai.steamstatic.com/steam/apps/1097150/capsule_231x87.jpg?t=1626803199 2x""/>]"
Wallpaper Engine, 49.99, 49.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/431960/capsule_sm_120.jpg?t=1624547291"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/431960/capsule_sm_120.jpg?t=1624547291 1x, https://cdn.akamai.steamstatic.com/steam/apps/431960/capsule_231x87.jpg?t=1624547291 2x""/>]"
Hunt: Showdown - Deluxe Edition, 811.46, 334.76,"[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/18768/1253eu7chrfv7moq/capsule_sm_120.jpg?t=1625767314"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/18768/1253eu7chrfv7moq/capsule_sm_120.jpg?t=1625767314 1x, https://cdn.akamai.steamstatic.com/steam/bundles/18768/1253eu7chrfv7moq/capsule_231x87.jpg?t=1625767314 2x""/>]"
GTA V: Megalodon Shark Cash Card, 999.99, 849.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/376855/capsule_sm_120.jpg?t=1618851945"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/376855/capsule_sm_120.jpg?t=1618851945 1x, https://cdn.akamai.steamstatic.com/steam/apps/376855/capsule_231x87.jpg?t=1618851945 2x""/>]"
Dead by Daylight, 229.00, 229.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1626525934"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1626525934 1x, https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_231x87.jpg?t=1626525934 2x""/>]"
The Forest, 185.99, 185.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/242760/capsule_sm_120.jpg?t=1590522045"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/242760/capsule_sm_120.jpg?t=1590522045 1x, https://cdn.akamai.steamstatic.com/steam/apps/242760/capsule_231x87.jpg?t=1590522045 2x""/>]"
PUBG: BATTLEGROUNDS, 300.00, 300.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1626232783"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1626232783 1x, https://cdn.akamai.steamstatic.com/steam/apps/578080/capsule_231x87.jpg?t=1626232783 2x""/>]"
DayZ, 599.00, 599.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/221100/capsule_sm_120.jpg?t=1624869802"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/221100/capsule_sm_120.jpg?t=1624869802 1x, https://cdn.akamai.steamstatic.com/steam/apps/221100/capsule_231x87.jpg?t=1624869802 2x""/>]"
Red Dead Online, 499.99, 249.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1404210/capsule_sm_120.jpg?t=1618851879"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1404210/capsule_sm_120.jpg?t=1618851879 1x, https://cdn.akamai.steamstatic.com/steam/apps/1404210/capsule_231x87.jpg?t=1618851879 2x""/>]"
Orcs Must Die! 3, 279.99, 279.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1522820/capsule_sm_120.jpg?t=1626315130"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1522820/capsule_sm_120.jpg?t=1626315130 1x, https://cdn.akamai.steamstatic.com/steam/apps/1522820/capsule_231x87.jpg?t=1626315130 2x""/>]"
FINAL FANTASY XIV Online, 275.00, 275.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/39210/capsule_sm_120.jpg?t=1621453463"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/39210/capsule_sm_120.jpg?t=1621453463 1x, https://cdn.akamai.steamstatic.com/steam/apps/39210/capsule_231x87.jpg?t=1621453463 2x""/>]"
Zero Hour, 133.99, 133.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1359090/capsule_sm_120.jpg?t=1626519794"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1359090/capsule_sm_120.jpg?t=1626519794 1x, https://cdn.akamai.steamstatic.com/steam/apps/1359090/capsule_231x87.jpg?t=1626519794 2x""/>]"
Mass Effect™ Legendary Edition," 1,399.00"," 1,399.00","[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1328670/capsule_sm_120.jpg?t=1624311862"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1328670/capsule_sm_120.jpg?t=1624311862 1x, https://cdn.akamai.steamstatic.com/steam/apps/1328670/capsule_231x87.jpg?t=1624311862 2x""/>]"
Borderlands 3 Ultimate Edition," 1,920.20", 821.72,"[<img src=""https://cdn.akamai.steamstatic.com/steam/bundles/16675/g2acfhv84umle2oa/capsule_sm_120.jpg?t=1604930220"" srcset=""https://cdn.akamai.steamstatic.com/steam/bundles/16675/g2acfhv84umle2oa/capsule_sm_120.jpg?t=1604930220 1x, https://cdn.akamai.steamstatic.com/steam/bundles/16675/g2acfhv84umle2oa/capsule_231x87.jpg?t=1604930220 2x""/>]"
BioShock: The Collection, 559.00, 111.80,"[<img src=""https://cdn.akamai.steamstatic.com/steam/subs/127633/capsule_sm_120.jpg?t=1534899024"" srcset=""https://cdn.akamai.steamstatic.com/steam/subs/127633/capsule_sm_120.jpg?t=1534899024 1x, https://cdn.akamai.steamstatic.com/steam/subs/127633/capsule_231x87.jpg?t=1534899024 2x""/>]"
The Elder Scrolls V: Skyrim Special Edition, 799.00, 799.00,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/489830/capsule_sm_120.jpg?t=1590515887"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/489830/capsule_sm_120.jpg?t=1590515887 1x, https://cdn.akamai.steamstatic.com/steam/apps/489830/capsule_231x87.jpg?t=1590515887 2x""/>]"
Forza Horizon 4," 1,499.00"," 1,499.00","[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1293830/capsule_sm_120.jpg?t=1622068013"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1293830/capsule_sm_120.jpg?t=1622068013 1x, https://cdn.akamai.steamstatic.com/steam/apps/1293830/capsule_231x87.jpg?t=1622068013 2x""/>]"
BeamNG.drive, 233.99, 233.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/284160/capsule_sm_120.jpg?t=1619021714"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/284160/capsule_sm_120.jpg?t=1619021714 1x, https://cdn.akamai.steamstatic.com/steam/apps/284160/capsule_231x87.jpg?t=1619021714 2x""/>]"
Terraria, 109.99, 109.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/105600/capsule_sm_120.jpg?t=1590092560"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/105600/capsule_sm_120.jpg?t=1590092560 1x, https://cdn.akamai.steamstatic.com/steam/apps/105600/capsule_231x87.jpg?t=1590092560 2x""/>]"
Cyberpunk 2077," 1,299.00"," 1,299.00","[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/1091500/capsule_sm_120.jpg?t=1621944801"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/1091500/capsule_sm_120.jpg?t=1621944801 1x, https://cdn.akamai.steamstatic.com/steam/apps/1091500/capsule_231x87.jpg?t=1621944801 2x""/>]"
Grounded, 799.99, 799.99,"[<img src=""https://cdn.akamai.steamstatic.com/steam/apps/962130/capsule_sm_120.jpg?t=1625098554"" srcset=""https://cdn.akamai.steamstatic.com/steam/apps/962130/capsule_sm_120.jpg?t=1625098554 1x, https://cdn.akamai.steamstatic.com/steam/apps/962130/capsule_231x87.jpg?t=1625098554 2x""/>]"
